trial,reward_function,learning_rate,gamma,batch_size,train_freq,target_update_interval,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
24,velocity_time,3.983060519638146e-05,0.9804625439461585,64,4,415,0.23264571596952419,0.02930256829952428,50000,100,11,0.556624925609436,856.4269011865099,0.9291987404374962,1001.7714681440443
25,velocity_time,1.4354049274537472e-05,0.8970064827356696,64,4,187,0.14284554643459216,0.12287364778960498,50000,100,13,0.500856135623777,436.96120138309715,2.6999640737764024,524.2216066481994
26,velocity_time,1.3965557984176453e-05,0.895651360387033,64,4,626,0.13998319861420752,0.16159934693441316,50000,100,14,0.6322608990635762,819.3680997634375,1.3083230587356776,919.8102493074792
27,velocity_time,1.7858388183010435e-05,0.8741716855763426,64,4,495,0.06232599111385803,0.1748481994927084,50000,100,10,0.55440722595376,887.783826304762,1.0968038300286327,954.590027700831
28,velocity_time,1.268681652091963e-05,0.9030786448391843,64,4,100,0.0981753823922702,0.08969965954058734,50000,100,12,0.5926794612555226,696.4159885233563,1.6091516790190608,717.1038781163435
29,velocity_time,3.5918245105655076e-05,0.9294775130828095,64,4,174,0.126739369422225,0.12033015432762714,50000,100,18,0.7942769566052793,760.2435060092008,1.2037376109402795,926.7340720221607
30,velocity_time,1.0479573489898954e-05,0.9599631057772715,64,4,147,0.1465032103046358,0.15399483757041632,50000,100,17,0.6769127776243717,425.3593496161602,2.5684555672578253,573.7534626038781
31,velocity_time,1.1868215293726235e-05,0.9829538961666445,64,4,173,0.15138158716254743,0.036369417583946004,50000,100,17,0.803767516188866,743.5607255366405,3.108884611918677,273.0803324099723
32,velocity_time,1.010115245324963e-05,0.9543994616236945,64,4,314,0.14675412718100667,0.1498173106863124,50000,100,19,0.6491122116511352,683.6179144587164,1.432345609409545,813.7382271468144
33,velocity_time,1.7425079453246953e-05,0.9325427981074186,64,4,139,0.19007556318186686,0.14242640257204942,50000,100,18,0.6921031235831524,871.9610188361524,1.1833477740149254,938.7188365650969
34,velocity_time,2.6439201599999236e-05,0.9588053370060347,64,4,348,0.12159649142058512,0.1653324524024663,50000,100,14,0.5460170906374678,406.37531951235627,2.8928490153629016,449.7645429362881
35,velocity_time,2.413309021664367e-05,0.9146516932549733,64,4,208,0.13511671517144272,0.16948225391157934,50000,100,14,0.5334457896734459,502.1153099317574,2.719295796541858,541.3490304709142
36,velocity_time,1.4534051875548931e-05,0.95874175657723,64,4,118,0.18798334562190983,0.18901563572573796,50000,100,15,0.6221026104308272,708.8408929955066,1.4220680125823004,811.1565096952909
37,velocity_time,2.2873456712558258e-05,0.9316887978722671,64,4,358,0.11703743347360127,0.12391268126096074,50000,100,16,0.5848600668272754,752.4667454215934,1.4119462017671727,882.9736842105264
38,velocity_time,1.894574509918403e-05,0.9867082344246415,64,4,262,0.15434246110523359,0.0581580813074425,50000,100,13,0.5377575023117366,766.2663102697562,1.3609219901905252,853.2285318559557
39,velocity_time,0.000495937301596813,0.8742010670674426,64,4,999,0.17396683035503718,0.13767527214502323,50000,100,17,0.8748193576113379,960.9032729429397,0.714737447731591,1076.8698060941829
40,velocity_time,4.183279399467859e-05,0.8394190374676924,64,4,193,0.07808111606198764,0.16257002296803277,50000,100,14,0.5006164965560894,881.4804803426181,1.0921488439461913,996.0457063711912
