step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.452170529038366,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9808196385421599,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9943473493638065,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.905689854558654,0,0.0,1.0,0,0.0,0.9895479861954919,0,0.0,0.9794526594824198,0,0.0,1.0,0,0.0,0.9954734784547401,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9661791148129654,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.826851943848832,0,0.0,0.49361980616592344,0,0.0,0.9608348545078546,0,0.0,0.9865614006261529,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9803558872277356,0,0.0,1.0,0,0.0,0.7844728705365923,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,9.33114252892385,0,0.0,0.8670662090502813,0,0.0,0.6695329296352033,0,0.0,0.9517173663120655,0,0.0,0.9986722189936413,0,0.0,1.0,0,0.0,0.9953640342025554,0,0.0,0.978633521873688,0,0.0,0.22131582636033242,0,0.0,0.9982125797456093,0,0.0
25.0,1,4.0,0.13793103448275862,10.588222589538537,0,0.0,0.3178098321100265,0,0.0,0.8919869739189894,0,0.0,0.9488298424922439,0,0.0,0.9795114530118938,0,2.0,0.6348834993716085,0,0.0,1.0,0,0.0,1.0,1,4.0,0.6126938764839912,0,0.0,0.9648809043512913,1,6.0
30.0,2,12.0,0.35294117647058826,11.399705485876721,1,3.0,6.134802768465524e-05,0,0.0,0.952448471814386,0,0.0,0.9349004165036359,0,0.0,0.9966139909906186,0,2.0,0.9676251196267739,0,0.0,1.0,0,0.0,0.6683001743750643,1,5.0,0.7430633749972552,0,0.0,0.9502298492195876,2,10.0
35.0,1,14.0,0.35,10.977739724674024,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9482366768389581,0,0.0,1.0,0,2.0,0.9624484493669342,0,0.0,1.0,0,0.0,0.9712399564345944,1,5.0,0.6248582121887778,0,0.0,0.9567603992875657,1,7.0
40.0,6,28.0,0.6222222222222222,8.918989037675333,0,0.0,0.9866907542478228,0,0.0,1.0,1,2.0,0.7122490971104851,0,0.0,1.0,0,2.0,0.2733216484932923,0,0.0,1.0,0,0.0,0.25876838031150085,3,15.0,0.474436744665083,2,2.0,0.31761817184979135,6,21.0
45.0,12,73.0,1.46,8.154404864380883,0,0.0,0.6940428622667576,0,0.0,1.0,1,7.0,0.6242163416785318,0,0.0,1.0,1,4.0,0.4848599467097834,0,0.0,1.0,1,4.0,0.4699004231331606,4,33.0,0.24688233102847967,4,16.0,0.3066122191357949,11,64.0
50.0,6,56.0,1.018181818181818,8.239572976013799,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9199299105134244,0,0.0,1.0,1,9.0,0.46292149403241667,0,0.0,1.0,0,0.0,0.5734779948786074,3,33.0,0.0029729614034772144,1,9.0,0.705175424926303,5,51.0
