step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.829623814855921,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9198411755176193,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9424819845378394,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.121338484860571,0,0.0,1.0,0,0.0,0.9338377675172589,0,0.0,0.9234268691037898,0,0.0,1.0,0,0.0,0.9531925817289671,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9418849670306851,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.327433993363465,0,0.0,0.37773206630576706,0,0.0,0.9331559635859515,0,0.0,0.9347212275119436,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9368003791248452,0,0.0,1.0,0,0.0,0.6594426861428285,0,0.0,1.0,0,0.0
20.0,1,2.0,0.08695652173913043,10.148357716858355,0,0.0,0.614130038980966,0,0.0,0.8808299767086412,0,0.0,0.9398738423930995,0,0.0,0.9420787651782654,0,0.0,1.0,0,0.0,0.910633520751411,0,0.0,0.9720413299019082,1,2.0,0.37011234715545704,0,0.0,0.5703233172651401,1,2.0
25.0,3,11.0,0.3793103448275862,9.46320834605007,0,0.0,0.18760916747623485,0,0.0,0.9405044137481644,0,0.0,0.9228994562457217,0,0.0,0.9157848524165543,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,11.0,0.37028202140198296,0,0.0,0.8975672418962518,3,11.0
30.0,4,31.0,0.9117647058823529,10.003413320749074,1,5.0,1.3800701832246196e-05,0,0.0,1.0,0,0.0,0.9326365781230074,0,0.0,0.4504913234011627,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6144893537801865,3,23.0,0.5544665447175811,0,0.0,0.9153381264412637,4,28.0
35.0,5,47.0,1.175,9.659353868458155,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9456209220993785,0,0.0,0.3034432278079705,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9944128214368754,3,33.0,0.376077732333956,1,3.0,0.6064662771143515,4,36.0
40.0,8,76.0,1.6888888888888889,8.652611643076343,0,4.0,0.7189575903633544,0,0.0,1.0,0,0.0,0.9434894208137368,1,3.0,0.24284070494269558,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4953478418582996,5,55.0,0.15776604467547709,2,10.0,0.31928907078985536,8,72.0
45.0,13,132.0,2.64,8.415741156455994,0,0.0,0.4951212621002022,0,0.0,1.0,0,0.0,0.9351847062264982,2,11.0,8.893329746274196e-05,0,0.0,0.9118574247299975,0,0.0,1.0,1,4.0,0.4843021407401926,6,83.0,0.04216980819388204,3,24.0,0.4320102156707719,12,122.0
50.0,11,153.0,2.7818181818181817,8.468354715728598,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4944071027218357,0,0.0,0.7352307059940268,0,0.0,0.9997144467966289,0,0.0,1.0,0,0.0,0.9716522681800182,7,116.0,0.0,2,21.0,0.5360440297518784,10,138.0
55.0,11,181.0,2.9672131147540983,8.315952077448147,0,0.0,0.3392262102021685,0,0.0,0.8738184266577458,1,6.0,0.6093188960094923,0,0.0,1.0,1,2.0,0.0014548391326250976,0,0.0,0.9937021590434795,0,0.0,0.7567151952330563,7,151.0,0.1093540097371655,1,16.0,0.5809260965759281,10,175.0
