trial,reward_function,learning_rate,gamma,n_steps,batch_size,ent_coef,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
0,velocity_time_delta,0.00012056797670391763,0.8133019710476379,1024,64,2.9800971801168936e-08,16,0.8199790197423249,20.10201739270557,7.172122247365834,51.470914127423825
1,velocity_time_delta,1.1264700301776307e-05,0.8800610235421787,1024,64,9.265374627685819e-07,20,0.7316559980328339,837.3571802078802,1.760224618253622,579.3268698060942
2,velocity_time_delta,1.9810924920644758e-05,0.8684344231746552,1024,64,8.383271731340113e-05,18,0.630827967518224,906.2453608757204,2.4478335237132565,354.1108033240997
3,velocity_time_delta,0.0001505823414670551,0.9621102246590975,1024,64,0.0013177004642305112,18,0.9367776557507403,537.5776919948277,4.611247625172954,149.2797783933518
5,velocity_time_delta,0.00042513262986178577,0.8740378494219132,1024,64,7.669779045916537e-07,18,0.7588580064163012,10.07434216207236,7.46498444297249,44.11218836565097
6,velocity_time_delta,3.827935897845804e-05,0.914711960332356,1024,64,2.341399226187883e-08,14,0.5826829703021013,904.5640056678893,2.4290726174163537,355.8351800554017
7,velocity_time_delta,0.00016100927558361635,0.9914411846596758,1024,64,0.08752043403897737,16,0.6743062261032315,47.03254076974098,6.33746864589103,75.74238227146814
8,velocity_time_delta,0.0002218586934889903,0.8686179065037588,1024,64,0.017075651385046478,16,0.8291460891375959,4.177205037561747,8.06276532103058,31.746537396121884
9,velocity_time_delta,2.1593483415278752e-05,0.918338677320091,1024,64,1.4632660675555165e-06,12,0.9032625775467741,775.3435610053149,1.5183152325330291,653.6745152354571
10,velocity_time_delta,2.652293984648636e-05,0.8964643241161478,1024,64,8.871817847964772e-06,13,0.8697212447119106,807.862155254144,2.163724402088995,419.4238227146814
11,velocity_time_delta,0.0008790807041133622,0.8107417024827487,1024,64,0.09114034740180381,15,0.5149900031774437,2.2985315382133904,8.353741044852763,26.912742382271468
12,velocity_time_delta,0.0009483826344120232,0.8043189901271613,1024,64,0.08043714602956713,10,0.5275906271333899,1.4714953937494528,8.609682483338524,22.166204986149584
13,velocity_time_delta,0.0009490449040740913,0.8004142613662059,1024,64,0.003742402651349783,10,0.5040983033875295,1.567022575366958,8.593183258157886,22.473684210526315
14,velocity_time_delta,0.0009866623113494186,0.8347107036804269,1024,64,0.002673707805597672,10,0.5066345499295235,1.486952161484131,8.586487842307731,22.457063711911356
15,velocity_time_delta,0.0004917560012052403,0.8372184013541537,1024,64,0.0004443755290183402,10,0.5793725801323162,1.5047562142449629,8.562123054121793,22.77285318559557
16,velocity_time_delta,0.00045234232685623,0.8420738945574692,1024,64,0.008676908349784082,11,0.558422220464715,4.592982751779189,8.182350616550355,29.145429362880886
17,velocity_time_delta,0.0009427674029237501,0.8377641732243939,1024,64,0.00020145128967991944,12,0.643871049744424,2.3043206992674867,8.3655017934963,26.62326869806094
18,velocity_time_delta,0.0002955394682022221,0.832815342953839,1024,64,0.01834567573216522,10,0.5032810502138999,4.37042516377942,8.23052952198148,28.445983379501385
19,velocity_time_delta,0.0006025174935312476,0.8232826660591717,1024,64,3.4336046671453104e-05,12,0.5660922525311622,4.842672646179697,8.12860775338775,30.85180055401662
20,velocity_time_delta,6.499566056935823e-05,0.8519069942139985,1024,64,0.001447028115101766,11,0.6969837543624795,411.824747679768,5.22237316855835,118.58864265927978
21,velocity_time_delta,0.0002983141182677253,0.8006727854273817,1024,64,0.02956241111129116,11,0.6324153210588623,2.1816423876365136,8.44208600325987,24.66481994459834
22,velocity_time_delta,0.0005839243078126296,0.856368163166297,1024,64,0.000394895421429888,10,0.5826129116555542,1.6621737507325514,8.632942610538773,22.138504155124654
23,velocity_time_delta,0.0006161280106531165,0.8210112094971271,1024,64,0.0007353052840738416,10,0.5482695868897371,1.5542687734585512,8.573643432941864,22.890581717451525
24,velocity_time_delta,0.0003638887316418744,0.8313562655710018,1024,64,0.002874611480907588,11,0.6117680891211694,1.5971107456560332,8.569801772785976,22.297783933518005
25,velocity_time_delta,0.0006636319075333487,0.8483022345212833,1024,64,2.440970837062987e-05,13,0.5344655961835467,2.4908698861794822,8.256901346038001,27.911357340720222
26,velocity_time_delta,0.0007485233735570596,0.895488687072194,1024,64,0.0072479309282594585,10,0.5944580408602042,2.4252902811444015,8.406963584894521,25.4196675900277
27,velocity_time_delta,0.0004625252674141865,0.8183932534774281,1024,64,0.0001328936855244128,12,0.5451243485789623,2.2461960102499017,8.392006290830395,26.411357340720222
28,velocity_time_delta,0.00022147776956789626,0.8589822241562356,1024,64,0.037482850896578664,11,0.6753005585031995,1.7841833917972243,8.495214009312194,23.898891966759003
29,velocity_time_delta,0.0005206260363980067,0.830841064173062,1024,64,0.003251623063474284,13,0.603098227734983,2.405474900852415,8.347995448329943,27.110803324099724
30,velocity_time_delta,0.0003222406574169466,0.8106604547938784,1024,64,1.1575728977375405e-07,10,0.9954997215681693,6.8700970741928264,7.816797530584879,36.21052631578947
31,velocity_time_delta,9.984941063669315e-05,0.8431036417367603,1024,64,0.00047330533134976716,11,0.5312422761483371,409.4941612422115,5.518928151837827,109.63157894736842
32,velocity_time_delta,0.0007091838586950838,0.8197956076331334,1024,64,0.0010047966194608236,10,0.5509994166335066,1.653929506458764,8.506140428986491,23.221606648199447
33,velocity_time_delta,0.00098084065942408,0.8121735934286964,1024,64,0.0004164464464999706,10,0.5017325874114881,1.6177203162037799,8.612245655431083,22.2797783933518
34,velocity_time_delta,0.0005741991516270617,0.8266013984082727,1024,64,9.602249724587072e-06,11,0.558835770384902,1.794126235548264,8.516002784740689,23.717451523545705
35,velocity_time_delta,0.0007416069015617379,0.8064245978793537,1024,64,5.740243753826579e-05,12,0.6239965090992374,2.3186445707776464,8.324512474445935,27.037396121883656
36,velocity_time_delta,0.0003973341689371807,0.8627799130950242,1024,64,0.006820348526830141,20,0.5275119661235876,3.290927618314576,8.101934438219436,31.289473684210527
37,velocity_time_delta,0.00022254632624144757,0.8214127330201023,1024,64,0.001179199657707336,10,0.7718231874179342,2.5351788911052804,8.346027015761607,26.405817174515235
38,velocity_time_delta,0.0007647448513638585,0.8827757124781915,1024,64,0.00021477726256549846,19,0.6519591421637679,4.01588122979954,8.01848784919482,33.09556786703601
39,velocity_time_delta,0.00045292942673111575,0.8802353466758616,1024,64,1.0488554363030854e-08,11,0.5864234510159575,1.69135019050789,8.495591258327629,23.72714681440443
40,velocity_time_delta,0.0002646656061297372,0.954563547258939,1024,64,0.0007803890864425975,10,0.7243844563477442,3.5302956104043877,8.242392383144345,28.46398891966759
41,velocity_time_delta,0.0001646958230120741,0.8402112307552215,1024,64,0.05063743899368191,14,0.5729635999133543,26.63556210805462,7.231904764675674,49.50277008310249
42,velocity_time_delta,1.0056710448939717e-05,0.8072234488259192,1024,64,0.0029617803131827382,10,0.5065487118384496,829.095941223278,1.2919190133599097,787.0872576177285
43,velocity_time_delta,0.0009754730367873856,0.8011647111068972,1024,64,0.003097899366073319,10,0.5320613182803966,1.614305807530156,8.5826634770871,22.450138504155124
44,velocity_time_delta,0.0008218345233287506,0.8179332790991184,1024,64,0.010061610815936846,11,0.5446303355308102,1.4511846419483976,8.610711263034217,21.837950138504155
45,velocity_time_delta,0.0005591673627674671,0.849254006020134,1024,64,0.01211114618816881,11,0.6038142254609568,1.7168629778602744,8.511113127487638,23.32409972299169
46,velocity_time_delta,0.000807573207367322,0.8158366600689099,1024,64,0.09103421329876309,12,0.554254631417445,2.073898614715061,8.387823921946435,26.34072022160665
47,velocity_time_delta,0.0003666197528956424,0.8330309720659134,1024,64,0.01890908997171555,13,0.5779881894526467,4.117609657566043,8.15114529048009,29.849030470914126
48,velocity_time_delta,0.0004980459613669313,0.870041722058723,1024,64,0.006456860589604802,12,0.5235359407614705,2.0507412006705947,8.393230634205185,26.235457063711912
49,velocity_time_delta,0.0006393043382197862,0.8256464779905424,1024,64,0.001919251644321923,11,0.6612599046261696,1.5178360235432111,8.593460486105949,22.275623268698062
50,velocity_time_delta,0.0008255672905960679,0.827904264537099,1024,64,0.0018396575831297638,11,0.6648915995908657,1.821875446782021,8.534237404190387,23.48891966759003
51,velocity_time_delta,0.0006711794153816608,0.8404291734968992,1024,64,0.049815452990431504,11,0.7916326907885183,1.4692918747211645,8.639120026690424,21.735457063711912
52,velocity_time_delta,0.0006591317548165381,0.8432685284025284,1024,64,0.04776708073196511,11,0.8585420096909385,1.758226189144941,8.536049037360476,23.214681440443215
53,velocity_time_delta,0.0009969642456320647,0.8357889384946035,1024,64,0.026597276448799362,12,0.7723962992435942,2.3679281744093768,8.365600452264975,26.746537396121884
54,velocity_time_delta,0.000818122899637697,0.8551130193417043,1024,64,0.010024442239686168,11,0.7370052538690796,1.561210313586444,8.591230032553378,22.25207756232687
55,velocity_time_delta,0.0005105367515813791,0.8643483893877132,1024,64,0.06228602981469179,10,0.8249041056370846,1.6119415765486544,8.528488457674754,23.250692520775623
56,velocity_time_delta,0.0004079862686684764,0.9968854837953485,1024,64,0.017590278672612057,12,0.8063880346913967,28.521809345917433,7.078723633849333,54.42797783933518
57,velocity_time_delta,1.6417800246335478e-05,0.8138273865580172,1024,64,0.001617902262687677,11,0.931693628652135,860.721247329313,1.122311569887301,897.0138504155125
58,velocity_time_delta,0.0006530047034249557,0.8477447475137226,1024,64,0.03189947420780404,17,0.7086945686265808,3.330248494804378,8.083984389051048,31.346260387811633
59,velocity_time_delta,0.0008477637375996717,0.8266862226991323,1024,64,0.004900702136213349,13,0.7994277125093738,2.278746582492657,8.323062027492762,27.090027700831026
60,velocity_time_delta,0.0006454971899281972,0.8386568180262332,1024,64,0.016619455052599565,10,0.855592956825644,1.6605459324396954,8.599653391336092,22.47091412742382
61,velocity_time_delta,4.741611653209953e-05,0.8043302449406283,1024,64,0.00019033533249024462,11,0.6155932370117352,675.1992687626463,4.58109557026524,146.42797783933517
62,velocity_time_delta,0.0005863007736380093,0.819643381933413,1024,64,0.000521665353938959,10,0.5173157742235263,2.27879958713284,8.450399057044038,24.332409972299168
63,velocity_time_delta,0.00034641809025000937,0.8247911640517265,1024,64,0.000271220657929402,10,0.541832850777492,1.6776578569872909,8.515345479753593,23.166204986149584
64,velocity_time_delta,0.0004799779112921115,0.8142435912356512,1024,64,0.00010663163069522718,10,0.5670280045476896,1.6417278506741249,8.553455931949301,22.975069252077564
