reward_function,com_optuna,n_viagens,waitingTime_medio,timeLoss_medio
diff_waiting_time,True,4236,22.292728989612844,49.500653918791315
diff_waiting_time,False,4236,22.766761095372992,50.90302644003777
velocity_time,True,2543,3738.317341722375,3753.7577428234367
velocity_time,False,2243,4732.516718680339,4742.546442264824
velocity_time_delta,True,4236,21.585694050991503,48.13105288007554
velocity_time_delta,False,3454,1972.3792704111174,1993.1721742906773
