trial,reward_function,learning_rate,gamma,n_steps,batch_size,ent_coef,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
21,diff_waiting_time,7.168943417261824e-05,0.8238909811932996,1024,64,0.0008511151109280041,14,0.95,405.47450319567366,5.40585993176369,114.51939058171745
22,diff_waiting_time,0.0009191386389278703,0.8104266184518663,1024,64,1.933564147682471e-05,15,0.95,2.0562284792285577,8.380177648728893,26.358725761772853
23,diff_waiting_time,0.0009706663756238821,0.8474155376132103,1024,64,0.018788640021060208,16,0.95,1.9285627272921337,8.412766474550294,25.76869806094183
24,diff_waiting_time,0.0009926737101767246,0.8475718703958323,1024,64,0.02091162028741161,17,0.95,2.6787552068708496,8.220699556965283,29.786703601108034
25,diff_waiting_time,0.0005486651920582912,0.8221553185832671,1024,64,0.017658729471933234,16,0.95,2.501934992708719,8.27268665620374,27.98891966759003
26,diff_waiting_time,0.00033300876957353866,0.8490863509658239,1024,64,0.0029106016518716847,15,0.95,3.1124773445391014,8.185211349736491,29.681440443213297
27,diff_waiting_time,0.0006377299526376802,0.8892609241616225,1024,64,0.03738788453762187,13,0.95,2.8846435095930163,8.189859253275424,29.79639889196676
28,diff_waiting_time,0.00041619443858859594,0.8195144923013393,1024,64,0.0011684926184631404,17,0.95,2.786581672470575,8.124080665878543,31.116343490304708
29,diff_waiting_time,0.00021843214035482448,0.843369620707216,1024,64,0.0002160981462220878,11,0.95,1.874718762067169,8.430128978035913,24.777008310249307
30,diff_waiting_time,0.00021002012000483254,0.8473634422181836,1024,64,0.00010128119829500679,11,0.95,2.3421425779992213,8.423923797515025,25.15235457063712
31,diff_waiting_time,0.00013209932489041763,0.9176974531020776,1024,64,0.0002665097987495271,11,0.95,6.295848457490071,7.784667589364607,37.5803324099723
32,diff_waiting_time,0.0007039464389343001,0.8344845356543115,1024,64,0.0068688626038011244,10,0.95,1.641484518420551,8.570764616076064,22.934903047091414
33,diff_waiting_time,0.00026946251490724135,0.8426825403531466,1024,64,0.002123555286873972,10,0.95,29.744085461346337,6.843205970655586,59.00277008310249
34,diff_waiting_time,0.0007216406245422257,0.8745054083267394,1024,64,0.009309100090495034,10,0.95,1.7315476000732382,8.55338665192555,22.981994459833796
35,diff_waiting_time,0.0006388217150521689,0.8795728841838578,1024,64,0.00684223330848232,11,0.95,1.6009713241822965,8.52596235861653,23.073407202216067
36,diff_waiting_time,0.0006883428384671994,0.8758945263380333,1024,64,0.006227569593654506,10,0.95,1.5747631230572783,8.595131741629256,22.41551246537396
37,diff_waiting_time,0.0006776419779829196,0.880482548610621,1024,64,0.007162592918474225,11,0.95,2.3631005624318937,8.38199494657639,25.64819944598338
38,diff_waiting_time,0.0004441873570581293,0.902261625527254,1024,64,0.00167061312177042,10,0.95,1.7103586742639363,8.549022219590919,23.2202216066482
39,diff_waiting_time,0.000616363375749816,0.8643101725695409,1024,64,0.0005397537561221378,12,0.95,2.380628838959031,8.33440679385267,27.21606648199446
40,diff_waiting_time,0.00034175768014920306,0.9140027805921467,1024,64,0.0028939120478717897,13,0.95,121.19966010218677,5.642362088480506,102.43905817174515
41,diff_waiting_time,0.0007731242850738237,0.9593419374265995,1024,64,2.214701437557381e-05,11,0.95,2.0159364453920054,8.461219907310232,24.55678670360111
42,diff_waiting_time,0.0004377574632100583,0.9001029410064374,1024,64,0.00152625775339286,10,0.95,2.3817124777177248,8.374031904283836,25.54432132963989
43,diff_waiting_time,0.0005481439602489255,0.8761259806688654,1024,64,0.010337870852878038,10,0.95,2.1464827628774144,8.384219831799474,25.56371191135734
44,diff_waiting_time,0.00040349962861444704,0.9112286142655786,1024,64,0.004830548983529023,10,0.95,2.2302504206221667,8.483488787450874,24.826869806094184
45,diff_waiting_time,0.0007425404600631497,0.8889507208708448,1024,64,0.002030927948053683,11,0.95,1.5248335846542502,8.594099035064033,22.317174515235457
46,diff_waiting_time,0.0007403589240522852,0.8618989830950037,1024,64,0.041632931557031995,11,0.95,1.7993242456947647,8.54739094397846,23.373961218836566
47,diff_waiting_time,0.0008194649879024914,0.814248449583271,1024,64,0.0003792548810121604,12,0.95,1.9329428210833473,8.391885359107468,26.0803324099723
48,diff_waiting_time,0.000595440779212258,0.8863540589348664,1024,64,0.00014490755922226106,11,0.95,1.4303289203388485,8.566172722665637,22.42382271468144
49,diff_waiting_time,0.0006122372490129757,0.8847022313162761,1024,64,4.420659824507392e-05,13,0.95,6.247672154035796,7.932283621765152,34.12603878116344
50,diff_waiting_time,0.0003055053749110225,0.8708657716397591,1024,64,2.565724918573461e-06,11,0.95,2.8446729656843863,8.383580415118093,25.71606648199446
51,diff_waiting_time,0.0005388713804205887,0.8568015969279843,1024,64,6.609496432235169e-05,12,0.95,2.5834365165544373,8.288048538875074,27.65235457063712
52,diff_waiting_time,0.0007898626242644354,0.9299619869955357,1024,64,0.004148441995036735,11,0.95,1.7630921495538274,8.494430025178996,23.97229916897507
53,diff_waiting_time,0.0006416853398574254,0.8908729063738955,1024,64,0.0006769026665696939,10,0.95,2.119428323303213,8.450187787796803,24.49584487534626
54,diff_waiting_time,0.0004904158996516313,0.8585920678670695,1024,64,0.00016651942008925758,11,0.95,1.5618330523750403,8.516551071189484,22.87950138504155
55,diff_waiting_time,0.00027110133406261735,0.8565567279813966,1024,64,9.98619362060168e-06,11,0.95,1.7009824484899794,8.487603603176003,23.709141274238227
56,diff_waiting_time,0.00037892351318789667,0.8816448083324288,1024,64,0.00016562500301288882,12,0.95,5.573628876014358,7.838318390835333,35.486149584487535
57,diff_waiting_time,0.0004944158398303377,0.8949149656343461,1024,64,0.03975442417954427,20,0.95,5.181905546768826,7.867101039887429,35.69529085872576
58,diff_waiting_time,0.000519579832874699,0.8698187921562903,1024,64,0.0005614210154729707,19,0.95,3.7206413191043803,7.943223447279406,33.83656509695291
59,diff_waiting_time,0.0008039231285222548,0.8842424119634394,1024,64,0.009812469729456666,13,0.95,2.706843245670544,8.259729337481177,28.18421052631579
60,diff_waiting_time,0.00048018223268150975,0.8545424987952883,1024,64,9.379099155977107e-05,11,0.95,2.705537413748893,8.327600301980826,26.168975069252078
61,diff_waiting_time,4.351432377864621e-05,0.9069617503055556,1024,64,0.002663122459698342,12,0.95,908.8719654885302,2.453809771809289,357.69806094182826
62,diff_waiting_time,0.0009923774293384565,0.8324796788808279,1024,64,0.0013834116185973385,10,0.95,1.4942216592705129,8.573799142809687,22.236842105263158
63,diff_waiting_time,0.0008589921392950266,0.8378371520168725,1024,64,0.0012853597500887002,10,0.95,1.6280899163493792,8.561977508976868,22.666204986149584
64,diff_waiting_time,0.0008833978443348255,0.8669609320055135,1024,64,0.00039343654834814303,10,0.95,1.3448431054840966,8.630884446062387,21.729916897506925
65,diff_waiting_time,0.0005997344695620992,0.8743680738326762,1024,64,0.0001604931533132891,11,0.95,1.4497593868243408,8.611311866061904,22.182825484764543
