step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.987870725792536,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9390341694338422,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9401622547605173,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.401545435601976,0,0.0,1.0,0,0.0,0.9363517711653222,0,0.0,0.9270839101186963,0,0.0,1.0,0,0.0,0.9710635391387512,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9619549870881446,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.679550967530751,0,0.0,0.3906068176574715,0,0.0,0.9623727833033873,0,0.0,0.9602140853916404,0,0.0,0.9350772795224364,0,0.0,1.0,0,0.0,0.9428871267230179,0,0.0,1.0,0,0.0,0.6648357019282201,0,0.0,1.0,0,0.0
20.0,2,6.0,0.2608695652173913,10.087577628422746,1,2.0,0.3375446645587467,0,0.0,0.8312024982978276,0,0.0,0.9364507067578101,0,0.0,0.968530250272657,0,0.0,1.0,0,0.0,0.9294842762687313,0,0.0,0.960502848612722,1,4.0,0.5610731085288327,0,0.0,0.7231340204654358,2,6.0
25.0,3,18.0,0.6206896551724138,9.282995685998607,1,7.0,0.04085116896868606,0,0.0,0.9808206062239158,0,0.0,0.9627902655614795,0,0.0,0.11442803501074592,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3963201839930826,2,11.0,0.4741179396689175,0,0.0,0.933398445123972,3,18.0
30.0,5,42.0,1.2352941176470589,10.004229653448778,2,16.0,2.6161185757434425e-06,0,0.0,1.0,0,0.0,0.9969326039115649,1,5.0,0.4499001269175719,0,0.0,0.969042060682401,0,0.0,1.0,0,0.0,0.6976569602880457,2,21.0,0.6110325917537024,0,0.0,0.9315678187549927,5,42.0
35.0,5,35.0,0.875,9.328307945937704,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9620548179596096,2,1.0,0.14659545654017705,0,0.0,0.9812763840925184,0,0.0,1.0,0,0.0,0.9948826180662589,2,31.0,0.46288391647520927,0,0.0,0.9251255762981876,4,32.0
40.0,6,58.0,1.3488372093023255,9.419184925249445,0,0.0,0.99377647762181,0,0.0,1.0,0,0.0,0.9494845082107037,2,10.0,0.12627699728775085,0,0.0,0.9896488920522083,0,0.0,1.0,0,0.0,0.8075751389382352,4,48.0,0.3920390203299176,0,0.0,0.6529226818663728,6,58.0
45.0,10,98.0,1.96,8.431974278249392,0,0.0,0.47506741707841404,0,0.0,1.0,0,0.0,0.9406917283596512,3,23.0,7.522376177533307e-05,0,0.0,0.5902884030045796,0,0.0,1.0,0,0.0,0.9687031665203107,5,70.0,0.2115129943300623,2,5.0,0.45894623535090984,10,98.0
50.0,11,97.0,1.7636363636363637,8.027969215878795,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6560408529263259,3,38.0,0.2460984980765383,1,5.0,0.49780757487633953,0,0.0,1.0,0,0.0,0.0996285814663232,4,36.0,0.14174784294065804,3,18.0,0.4629707114531412,11,97.0
55.0,11,88.0,1.4426229508196722,7.701735830534366,0,0.0,0.24699289876482555,0,0.0,1.0,1,5.0,0.6525365075294942,4,55.0,0.00029348877361564524,1,5.0,0.26721160533395855,0,0.0,0.9709564033147713,1,4.0,0.4954901175018325,2,32.0,0.2519937487687974,1,16.0,0.6074373237715877,10,117.0
60.0,8,67.0,1.0151515151515151,8.692141611053003,0,0.0,0.7037043880421886,0,4.0,0.9550530068858535,2,13.0,0.4401181340477825,2,29.0,0.3558856711284347,1,5.0,0.4868627265022142,0,0.0,0.9236248823886604,0,4.0,0.7280529975523301,3,23.0,0.2215359371035746,0,8.0,0.9156743228302172,8,86.0
65.0,8,65.0,0.9154929577464789,9.223571087526981,0,0.0,0.25733933905498296,0,4.0,0.923235256378209,4,29.0,0.42628367170617226,0,0.0,0.7420855522279561,1,10.0,0.734129180384478,0,0.0,1.0,1,10.0,0.5937103415670908,1,21.0,0.6840462659140589,0,4.0,0.9228789549948475,7,78.0
70.0,8,66.0,0.8571428571428571,9.617288589392112,2,8.0,0.0003608864144707616,1,5.0,0.6153825050751816,2,9.0,0.48185044625762363,0,0.0,0.9796069388415275,1,15.0,0.7639965188769304,0,0.0,0.4514320510811279,1,15.0,0.6610498217459289,1,26.0,0.7257312175394671,0,4.0,0.8835499671786018,8,82.0
75.0,7,74.0,0.891566265060241,10.117448035622804,2,18.0,0.3159330933384765,1,10.0,0.5133168869762148,0,2.0,0.8420224800648937,1,1.0,0.4911657623431419,1,24.0,0.7159084484403486,0,0.0,0.8811509988863151,0,2.0,0.6379068092790474,2,28.0,0.6659395934066129,0,4.0,0.6744583285390088,7,89.0
80.0,6,65.0,0.7386363636363636,9.45998234039143,0,0.0,0.9544898961687375,1,15.0,0.6895527782435461,0,0.0,0.9772218187681742,1,10.0,0.7577403684025458,0,0.0,0.6849207464591544,0,0.0,0.7437604742250994,1,6.0,0.3691803708740028,2,38.0,0.3606283507001392,1,9.0,0.4842147333925882,6,78.0
85.0,11,85.0,0.9139784946236559,8.722199349978272,0,0.0,0.8460988444995684,0,4.0,0.7819216752204414,0,0.0,0.9703262766442479,1,19.0,0.7550910724264933,1,4.0,0.5013755178674756,0,0.0,1.0,2,12.0,0.23121745263158883,4,53.0,0.15322302018744802,2,5.0,0.46079850696264146,10,97.0
90.0,15,81.0,0.8350515463917526,8.222173188975614,1,2.0,0.4856759698949471,1,6.0,0.4822606298493528,0,0.0,0.9803870107451421,1,9.0,0.41027468102104014,3,16.0,0.46209473810665674,0,0.0,1.0,3,26.0,0.24008238948913013,2,20.0,0.3020691918536376,0,6.0,0.8610076131355473,11,85.0
95.0,13,88.0,0.8627450980392157,8.532327975410714,2,12.0,0.5252729179131637,2,20.0,0.6295863380479171,0,0.0,0.6557381714697209,3,21.0,0.3368616441551364,1,7.0,0.5367529658572565,0,0.0,1.0,1,11.0,0.4700592067862422,1,4.0,0.6444953372976503,0,4.0,0.8986536935163795,10,79.0
100.0,10,96.0,0.9142857142857143,9.020661618708465,2,22.0,0.34434480406875395,0,8.0,0.9495071179598311,0,4.0,0.831989698161611,4,47.0,0.3289538580793708,1,9.0,0.5669746065890223,0,0.0,1.0,0,1.0,0.9673735318213312,1,9.0,0.7829354285179397,0,15.0,0.8240578649426377,8,115.0
105.0,11,79.0,0.7181818181818181,9.584667211810677,5,39.0,0.2528028238501359,0,8.0,0.769928664548796,0,4.0,0.9515196820516565,1,15.0,0.7919037105028688,1,14.0,0.6474501257371609,0,0.0,0.9788711511935564,0,4.0,0.7885764801809464,1,2.0,0.7709884294354737,0,11.0,0.8283342685842413,8,97.0
110.0,17,105.0,0.9375,9.249255521669852,4,42.0,0.31031288323658285,1,13.0,0.7692763889335156,0,4.0,0.98860894683945,0,4.0,0.850657221170643,0,8.0,0.7624900060527091,0,0.0,0.9703990755885019,3,13.0,0.6060664869691169,3,10.0,0.5291560284064747,2,20.0,0.5766709353406919,13,114.0
115.0,16,101.0,0.8782608695652174,9.017075938763604,0,32.0,0.5596302887046628,0,8.0,0.7856048792011977,0,4.0,0.9378700842263036,2,8.0,0.4828850921752053,2,15.0,0.6780874038854271,0,0.0,0.7408570386752419,2,15.0,0.3294889614697641,5,29.0,0.3273613735342641,3,33.0,0.43393688798710467,14,144.0
120.0,19,108.0,0.907563025210084,9.039522009624879,2,12.0,0.13779865964827182,1,7.0,0.7516309089167831,0,4.0,0.9221823361706807,1,10.0,0.7669917631688662,2,21.0,0.687932533904298,0,0.0,0.8175676372203784,3,65.0,0.29706335525813116,6,42.0,0.17239533915652977,2,19.0,0.5673585100570606,17,180.0
125.0,12,91.0,0.7647058823529411,8.930425375066745,2,18.0,0.08962744420604346,2,14.0,0.5701058654903602,0,8.0,0.9104373773012842,0,4.0,0.6245257608525294,0,8.0,0.6634826856586831,0,0.0,1.0,5,40.0,0.3163725253457757,2,50.0,0.2988319142689593,0,9.0,0.52490300978883,11,151.0
