reward_function,com_optuna,system_mean_waiting_time,system_mean_speed,system_total_stopped
diff_waiting_time,True,1.2610788045274821,8.677789194773839,21.110833333333332
diff_waiting_time,False,1.3742079309631279,8.535248634861945,23.128333333333334
velocity_time,True,1.716365414170613,8.50121332967772,24.555555555555557
velocity_time,False,1.4969878923969935,8.582534074786757,22.420277777777777
velocity_time_delta,True,1.2746915705482262,8.679740099944656,21.00583333333333
velocity_time_delta,False,1.3911813181564456,8.616558648780774,22.064722222222223
