step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.906998293134512,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.919178431928386,0,0.0,1.0,0,0.0,1.0,0,0.0,0.946867971095753,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.568007951090852,0,0.0,1.0,0,0.0,0.9370774367522994,0,0.0,0.9235261166174287,0,0.0,1.0,0,0.0,0.9744224529875795,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9704262115950456,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.798119496219982,0,0.0,0.4135771974574234,0,0.0,0.9620480010031136,0,0.0,0.9633620042709325,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9273405814335797,0,0.0,1.0,0,0.0,0.7237859508246204,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.864335174799072,0,0.0,0.7720880003117141,0,0.0,0.9598730033110733,0,0.0,0.9813730369232019,0,0.0,0.9967872291248938,0,0.0,1.0,0,0.0,0.977005522923893,0,0.0,0.9585555757443294,0,0.0,0.6014460430298203,0,0.0,0.8141409205645853,0,0.0
25.0,0,0.0,0.0,10.783177081542343,0,0.0,1.0,0,0.0,0.9789978487728437,0,0.0,0.9824822434574692,0,0.0,0.9209926532006557,0,3.0,0.4720849642375953,0,0.0,1.0,0,0.0,0.46792323031027977,0,0.0,0.615013694907359,0,0.0,0.9278000606308181,0,3.0
30.0,2,7.0,0.2,11.208903480347686,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9646592657961093,1,2.0,0.4464270246935065,0,0.0,0.9405257057778864,0,0.0,1.0,0,0.0,0.6424995121329321,1,5.0,0.7548459190676062,0,0.0,0.8394497021461355,2,7.0
35.0,2,17.0,0.425,10.78832376445082,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9402026316362256,1,5.0,0.5,0,0.0,0.9672911861416305,0,0.0,1.0,0,0.0,0.7974482276508881,1,5.0,0.6702468739952185,0,0.0,0.8197662959326427,2,10.0
40.0,2,6.0,0.13636363636363635,9.949497009007622,0,0.0,0.9855068663898172,0,0.0,1.0,0,0.0,0.953166907989019,0,0.0,0.12360563359022599,0,0.0,0.48152595875644677,0,0.0,1.0,0,0.0,0.354609922511975,1,3.0,0.6452467860117991,1,3.0,0.6397529546940012,2,6.0
45.0,7,27.0,0.5510204081632653,9.115740261017892,0,0.0,0.32923328187604123,0,0.0,1.0,0,0.0,0.9675461104345492,1,3.0,7.723648640063967e-05,1,3.0,0.6443758432033982,0,0.0,1.0,1,5.0,0.49671068421358644,2,11.0,0.3113318293887217,1,3.0,0.5350900336715146,6,25.0
50.0,10,63.0,1.1454545454545455,9.054360398027157,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9745900147351747,1,8.0,0.0,1,12.0,0.7082141024805315,0,0.0,1.0,0,0.0,0.38898915134977047,3,23.0,0.00016658450366126935,4,20.0,0.41102862554781444,9,63.0
55.0,10,88.0,1.4426229508196722,7.943772394159528,0,0.0,0.282490904739031,0,0.0,1.0,0,0.0,0.9444378947126068,1,13.0,0.39890738865596864,0,4.0,0.3215865512885891,0,0.0,1.0,1,3.0,0.4884282669919123,2,20.0,0.3209572496706974,5,43.0,0.2220472730618155,9,83.0
60.0,14,116.0,1.7313432835820894,8.925680034476818,0,0.0,0.6954712541270311,0,0.0,0.9411536112886515,0,4.0,0.9304762053436137,1,7.0,0.5084261213533177,1,13.0,0.4291765157868539,0,0.0,0.9304152183177055,1,8.0,0.6463325022041135,2,15.0,0.47223084305791474,6,70.0,0.23801890451895852,11,117.0
65.0,8,113.0,1.591549295774648,8.723072470511847,0,0.0,0.43263345807282805,0,0.0,0.9836291199885999,0,0.0,0.9109470306836999,0,4.0,0.79665501191975,1,10.0,0.5251554730849791,0,0.0,0.9299751723076618,0,4.0,0.7000615875505998,2,25.0,0.4509744500064392,3,53.0,0.04658570972495284,6,96.0
70.0,6,55.0,0.7236842105263158,9.866857111947045,0,0.0,1.0,0,4.0,0.8967197081942951,0,0.0,0.9129592564022997,0,0.0,0.8850952031067907,0,0.0,0.9715659570196941,0,0.0,0.5223008088295055,2,4.0,0.5068006865883612,1,6.0,0.6295889677564096,2,22.0,0.5666157065741858,5,36.0
75.0,7,55.0,0.6707317073170732,9.769185283928358,0,0.0,1.0,0,4.0,0.9293244294324743,1,5.0,0.691212293158247,1,6.0,0.6561909135485254,0,0.0,0.6653084471740178,0,0.0,0.9593545405215265,2,14.0,0.08860041910708315,1,11.0,0.5940762899479838,2,63.0,0.5974365788109931,7,103.0
80.0,7,30.0,0.3448275862068966,9.30568188516413,0,0.0,1.0,0,4.0,0.9537798646708766,1,10.0,0.5646151307714415,1,11.0,0.5606742082774219,2,6.0,0.530102960295999,0,0.0,0.9104240408203915,2,3.0,0.37243223394046865,1,12.0,0.6249725728113349,0,32.0,0.5882439289692731,7,78.0
