trial,reward_function,learning_rate,gamma,n_steps,batch_size,ent_coef,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
0,velocity_time,0.00020993652490622662,0.9756072806998235,1024,64,3.875790053167693e-05,19,0.5714416497970306,801.3884152589284,1.4958276563693773,755.8047091412742
1,velocity_time,5.548559193833576e-05,0.8757314477955431,1024,64,6.294110599323282e-08,16,0.7085279088215752,913.9021628384802,2.4586768276320243,353.7285318559557
2,velocity_time,0.0002140472209645548,0.9460516583751406,1024,64,0.00020313233242466182,20,0.7234178550808827,740.66392296709,1.6738356153990785,726.2950138504156
3,velocity_time,4.23503679674402e-05,0.9129335597690742,1024,64,0.0102303964184931,18,0.7372807348304204,887.2216801314555,2.366174579958576,368.0318559556787
5,velocity_time,5.4784780105055216e-05,0.8794468333193113,1024,64,4.34624756288207e-08,17,0.8844300772465155,526.9506489268352,5.127495363955566,122.8213296398892
6,velocity_time,0.0001105796958655355,0.8173955055564699,1024,64,3.321273413141149e-05,13,0.6619630362768086,671.4153937162877,4.59036523668487,146.71883656509695
7,velocity_time,0.00027532972912177646,0.9305931232933928,1024,64,6.129506642117767e-07,10,0.5579905619678193,738.2148163609041,1.6070597558670223,754.297783933518
8,velocity_time,6.926834248077199e-05,0.9341074821867924,1024,64,1.4655586898884355e-05,14,0.9378039195574329,668.0831449807538,4.5478359106654835,148.90997229916897
9,velocity_time,0.00017165267480470327,0.9491529074224844,1024,64,1.2719913101051755e-08,13,0.6714701365786706,823.420944441434,1.4162885354623924,775.2160664819944
10,velocity_time,6.285492236233732e-05,0.9717102124943151,1024,64,1.535043375276454e-08,15,0.7787126221643855,864.7115459547113,1.1243000944021233,901.3337950138504
11,velocity_time,1.0204245941421843e-05,0.8024904506619601,1024,64,0.027048558142901847,10,0.9784477747963353,912.6892978971453,1.0075237724638797,985.9349030470914
12,velocity_time,0.0008138671977454177,0.8820380522247945,1024,64,1.1363868246275886e-06,16,0.9283272987545901,2.4354143937980264,8.358106397158156,26.565096952908586
13,velocity_time,0.0008982829557908793,0.8707031803223735,1024,64,6.812829310128933e-07,17,0.8710410775398651,666.8380057033504,4.520247719361462,149.94736842105263
14,velocity_time,0.0008761916306142566,0.8749227607656561,1024,64,7.525161507130047e-07,17,0.854765783179667,8.296200851388674,7.697131212742753,39.16759002770083
15,velocity_time,0.0007600835466684127,0.8453578379177474,1024,64,1.1627652648583395e-06,16,0.8357508518422744,8.452752110077247,7.822166241820587,36.69390581717452
16,velocity_time,0.00046793014676823,0.8963130438864924,1024,64,2.211893743502432e-06,18,0.9322359369731671,626.4083391939845,4.626615864757473,144.45706371191136
17,velocity_time,0.0004663883030023434,0.8400046809260209,1024,64,0.0008544709666751457,12,0.8087643623072462,191.1303426541055,7.008337524305806,54.88227146814405
18,velocity_time,0.00047401958979915315,0.8507821892896987,1024,64,1.7134976861282123e-07,15,0.99760105345973,4.370590070945675,8.052529505124435,32.61218836565097
19,velocity_time,0.0004026594497599201,0.844414035544421,1024,64,1.1586532133443447e-07,15,0.9879810358713832,23.813200964332633,6.97566009106209,56.36703601108033
20,velocity_time,0.0005751322198469163,0.903751529511344,1024,64,6.4785057038809625e-06,12,0.9224646250205422,10.69218317762429,7.416889856014381,45.52354570637119
21,velocity_time,0.00031291236052036165,0.8542680110291606,1024,64,1.987958942507839e-07,15,0.9994854070029778,4.7645649551619895,7.984738877485642,33.637119113573405
22,velocity_time,0.0003518120841786362,0.8563194081133338,1024,64,2.1803254245685933e-07,15,0.9953358209077655,190.56881784899377,7.367647879014134,46.162049861495845
23,velocity_time,0.00013076054209011049,0.8231554825836173,1024,64,4.022157626771585e-06,14,0.9405937369523967,59.27486853173259,5.995012955714228,87.0387811634349
24,velocity_time,0.0006438172251214328,0.8591533400698661,1024,64,2.2646563254230916e-07,16,0.9000013449527811,2.469019689206784,8.248959283663302,27.981994459833796
25,velocity_time,0.000627100564238352,0.8914841568321078,1024,64,2.7006479842341966e-07,16,0.8999729159251872,604.7769639076215,4.595191991241709,147.71606648199446
26,velocity_time,0.000957654462865783,0.8309107692643973,1024,64,2.6098975866819276e-08,14,0.9564410651540634,3.2993461803678663,8.086617209725471,31.357340720221607
27,velocity_time,0.0009993540464557314,0.8293996178713026,1024,64,3.4654073040680684e-08,14,0.8084210276455566,194.75554553220985,7.5369423101972775,43.32409972299169
28,velocity_time,0.0006593322877856458,0.8041096077492866,1024,64,1.0034467653453577e-08,18,0.501606905292463,545.4636142097528,4.727444361067014,143.91274238227146
29,velocity_time,0.0006702992885054831,0.8649089103466234,1024,64,5.257380060313988e-08,12,0.9524569386151316,286.66635202937755,3.199113964008887,418.3711911357341
30,velocity_time,0.00026285595243012846,0.832423483459552,1024,64,0.00011340738763397357,19,0.895163924861655,479.15494732894206,5.170976527025312,121.33102493074792
31,velocity_time,0.0009730160972588316,0.8122502522067796,1024,64,1.188648901902751e-05,13,0.8301131077199491,196.79438468834644,7.614378760129041,41.3213296398892
32,velocity_time,0.00047085408270139086,0.8556883597367383,1024,64,2.2716154487395797e-06,16,0.913111317967409,3.2944218664562386,8.17945737122115,29.217451523545705
33,velocity_time,0.0005780549977130922,0.8621291249922358,1024,64,2.779819813634181e-06,16,0.917846229542545,30.841604389222187,7.050988159542101,53.12326869806094
34,velocity_time,0.0003919476216032233,0.8860474744379844,1024,64,1.513835309278129e-06,17,0.9525671490476251,644.2332804782733,1.8523010231749097,728.707756232687
35,velocity_time,0.00021372829690857368,0.9986262202671387,1024,64,5.051947995792666e-07,16,0.8725903825355616,691.0116635578272,2.2335959794782925,424.11495844875344
36,velocity_time,2.2042947899827197e-05,0.9132246473886265,1024,64,4.1122666648779227e-05,20,0.9619044113964635,767.9768418131072,2.313549638797934,395.3421052631579
37,velocity_time,0.0007399981609883753,0.8820175523210252,1024,64,6.651333275190017e-08,19,0.9087911889174605,3.2594537147356935,8.102386290430703,31.785318559556785
38,velocity_time,0.0005302485879779074,0.8799120495934418,1024,64,9.987237344636992e-08,19,0.7716792072508207,24.0515159690364,7.232915909560806,50.23545706371191
39,velocity_time,0.0007406680639976936,0.9103589996785185,1024,64,3.738963414897515e-07,18,0.849504674802277,181.11828961279474,6.9165465020177,56.37119113573407
40,velocity_time,0.00027482988272411676,0.8685123189350239,1024,64,8.389719634607911e-06,17,0.9018805263116344,792.8660307284119,1.4306541407576356,766.5096952908588
41,velocity_time,0.0001551159447175807,0.8961858491152035,1024,64,2.1903268079460825e-05,20,0.9096039634832347,638.00354685801,4.402056328415661,156.0595567867036
42,velocity_time,0.0007094451489487798,0.8371664278315304,1024,64,3.253250504089898e-08,19,0.9660561482899989,192.7764135210362,7.477453299038008,44.61218836565097
43,velocity_time,0.0008395249518756018,0.8814140747939636,1024,64,6.721463926938733e-08,14,0.8785419873810202,40.35540115338506,7.304127713118543,47.72853185595568
44,velocity_time,0.0004035766672556002,0.8594287517917323,1024,64,2.229866224876692e-08,11,0.9310016928767261,199.70209354092444,7.752722541147259,38.71191135734072
45,velocity_time,0.0005091608781530125,0.8195879954318088,1024,64,6.551423106258467e-08,14,0.8601060850023403,11.361989000331018,7.482719292957969,43.4792243767313
46,velocity_time,0.0008037450199553848,0.8735933166340651,1024,64,1.2709613094566496e-06,17,0.8877613039362892,173.78331597637492,7.012450202061428,54.22853185595568
47,velocity_time,0.0003119282352069293,0.9240823404243613,1024,64,0.0019281497547213053,18,0.9623467643997157,18.38053265028463,7.117799836860291,53.335180055401665
48,velocity_time,0.0009703819197918456,0.8494340305845209,1024,64,4.78956849874834e-07,16,0.8272345585679602,2.326924943486027,8.303659296598251,27.587257617728532
