trial,reward_function,learning_rate,gamma,batch_size,train_freq,target_update_interval,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
45,velocity_time_delta,0.00039664134788700895,0.9515617785704872,64,4,691,0.1480008113074709,0.1899746558978031,50000,100,11,0.9991013415510919,1.6747042809892922,8.404001038603264,24.689750692520775
46,velocity_time_delta,0.0002648758116508484,0.9424775053165475,64,4,937,0.23567935389098008,0.17813054390575792,50000,100,10,0.8484225068995705,1.9332680199309762,8.279287494161549,26.93213296398892
47,velocity_time_delta,0.0005900538771883131,0.9143160587134669,64,4,597,0.21099858878673522,0.19169613234510546,50000,100,11,0.9207132685636279,1.8335174469850202,8.36019782510506,25.519390581717452
48,velocity_time_delta,0.0008026568598854091,0.89525044648675,64,4,783,0.19758945184499055,0.1570103250418958,50000,100,12,0.9702855585156405,1.9337017003445558,8.40428059912881,25.78393351800554
49,velocity_time_delta,0.0005087219576490089,0.9260125586827529,64,4,544,0.2501740972012909,0.010317464162180892,50000,100,10,0.8915659729626852,213.06659797059285,6.730947809968492,60.35872576177285
50,velocity_time_delta,0.0008337346434418841,0.982621379580678,64,4,871,0.19158721431628273,0.03365445185865906,50000,100,11,0.9217606149744941,1.575573738489891,8.507200557602337,23.4612188365651
51,velocity_time_delta,0.0006376273928642548,0.9576019575856076,64,4,687,0.2276019856339081,0.0924518708823834,50000,100,19,0.9550934851743491,2.50788298413069,8.112370992000683,31.342105263157894
52,velocity_time_delta,0.0006730603220454304,0.9391820978811037,64,4,724,0.20543243585840193,0.1998600304146362,50000,100,11,0.9424193208951267,1.4872423012785971,8.385169886979849,24.59695290858726
53,velocity_time_delta,0.0007956732174227188,0.9431168681990447,64,4,749,0.2169498322318203,0.19405191721213502,50000,100,10,0.9737316410093049,1.4561153359946932,8.624575506157534,21.831024930747922
54,velocity_time_delta,0.0004443101290476167,0.9485005417646882,64,4,822,0.21606283402287005,0.18084033586314313,50000,100,10,0.9807644258600215,271.1000842398896,6.748789707566657,65.13850415512465
55,velocity_time_delta,0.0009884887678244744,0.9296744512531725,64,4,761,0.17823363599486214,0.19172970439438955,50000,100,10,0.8870732722313472,1.4711311596027565,8.453481418362637,23.240997229916896
56,velocity_time_delta,0.0007904063183091549,0.9690599032861186,64,4,749,0.07779705627685059,0.17150012704873843,50000,100,12,0.9733637202511856,2.029304298905303,8.196226915636988,29.090027700831026
57,velocity_time_delta,0.0005507453076742426,0.9160195592862689,64,4,606,0.24503922619331203,0.15299386649475083,50000,100,10,0.9134760312717561,1.640955726705883,8.371163989660477,25.059556786703602
58,velocity_time_delta,0.0003412313415102141,0.9461339334994686,64,4,887,0.15816459609881525,0.17766633092216616,50000,100,11,0.9350291194047088,2.6743953068798305,7.417695687723162,40.18005540166205
59,velocity_time_delta,0.0008624466746562853,0.9571259212959875,64,4,678,0.25965447434647654,0.16268718416065833,50000,100,10,0.8780668671155489,1.420600398694272,8.499643342490536,23.401662049861496
60,velocity_time_delta,0.00041815075066413843,0.9547661708408183,64,4,677,0.260441093910069,0.13965596707134675,50000,100,12,0.8778520073851369,2.0710045467286498,8.217613474708905,28.261772853185594
